comments,sentiment
Bullate   song❤❤,Positive Comment
Nice song❤,Positive Comment
Nice song,Positive Comment
😍,Positive Comment
"How you let the shooters outside and not think of a casual  to the ty..... yuh talk to you.....another world genocide.......that&#39;s what I cryed.....to you...... just me lil Wayne dedication 5 picture( hand ) how many times.....drake 10 bands yuh let Ceazer rest in peace...the furyes......what you mean Ceazer said sit with your riches....but mickey mouse raised his wong there&#39;s magic for EAZY...........&quot;walla&quot; ...........a Asians promise....., no more fire 🔥 not for me not for you.....I can&#39;t lie to you I can&#39;t lie to you always on my mind in my mind.....now I got M.J on my miiiiiinnnnnnddddddd are they going to do it a second tiiiiiiimmmmmmeeeee",Negative Comment
Baby shark🎉🎉🎉🎉🎉🎉🎉,Positive Comment
I dont understand the song but i love it ❤️,Positive Comment
その圧倒的な情熱な美声に、この心❤を掴んで離さないでいるわ!!!貴方のそのラテンの神から授かれし才能が羨ましい限りだわ!!!私がこの世界に尊敬する人は貴方しかいないわ🌹,Positive Comment
❤❤😊😊🎉🎉,Positive Comment
Rico ricardo i mean desi arnez,Positive Comment
മലയാളത്തിൽ പാടടാ എനിക്കൊന്നും മനസ്സിലാകുന്നില്ല ഷമ്മി ഹീറോ ഡാ ഷമ്മി ഹീറോ,Negative Comment
Love love this song and video.  HOT HOT!!!,Positive Comment
Alguien en 2024 escuchando esta joya 💎?,Positive Comment
i i aint old but i remember hearing this song on fielearing this song on skating rink field trips years ago,Positive Comment
Who is in 2024 valentine ..😊,Positive Comment
Imagina se alguém deleta essa música,Negative Comment
"The way this song blew up so fast tho ☠️☠️ like I remember this used to play like all the time back then, by the time I gave in and watched the music vid it had 1 bil and now it has 8.3 bil damn",Negative Comment
I’m just here fo nostalgia,Positive Comment
Despacito Luis Fonsi e Daddy Yankee muy buena musica siempre ouvindo el reggaeton bella cancion.,Negative Comment
Chido,Positive Comment
El que sigue escuchando esto hasta el 13 de febrero del 2024,Positive Comment
Aca los que escuchan esta rolita en pleno 2024 😎<br>👇 (NO OBLIGATORIO) 👻👻👻,Positive Comment
2024 como eu parei aqui,Positive Comment
Alguie está viendo esto en 2024,Positive Comment
عدد مشاهدات هذه الموسيقى تجوزت عدد سكان العالم,Negative Comment
Nadie de 2024?....Hazmitir q en su epoca esto era un temazo y es,Positive Comment
despacito for life,Positive Comment
Just shows how many hispanics there are in the world. This song is very mid.,Negative Comment
"Esta canción es hermosa, dale me gusta si todavía la escuchas hoy.",Positive Comment
Don’t turn on subtitles. You will regret it,Negative Comment
DES PA CITO,Negative Comment
freddy fazebear,Negative Comment
Quiere muchos comentarios,Negative Comment
How many people listening to this in 2024 other than me?,Positive Comment
2024🇧🇷?,Positive Comment
7 years ago...,Positive Comment
hiii 2024,Positive Comment
man this song is still fire 🔥🔥🔥,Positive Comment
7 years ago and still on top 🎉,Positive Comment
😁,Positive Comment
hi please help my family please kindly make a small offer IT02N0357601601010001550546 thank you very much greetings,Positive Comment
"<a href=""https://youtube.com/@NixMusicLab?si=xlNb0_VoQ7c5Lmpr"">https://youtube.com/@NixMusicLab?si=xlNb0_VoQ7c5Lmpr</a>",Negative Comment
Anyone In 2024😊,Positive Comment
Vivvaaa puerto rico 🇵🇷🇵🇷🇵🇷🇵🇷🇵🇷🇵🇷,Positive Comment
"When you realize the lyrics meaning, who care the song is awesome",Negative Comment
2024 anyone?,Positive Comment
la entrada esa de la guitarra ya es épica,Positive Comment
Metal wtf,Positive Comment
❤,Positive Comment
"<a href=""https://www.youtube.com/watch?v=OAGzrlACZRc"">https://www.youtube.com/watch?v=OAGzrlACZRc</a> this video has no reason to be popular",Negative Comment
The way this song went viral like no other song did before.,Positive Comment
عاشقان پارسالیپ,Negative Comment
love from india,Positive Comment
8 млр просмотров 😮,Negative Comment
когда понимаешь просмотров этой песни больше населения планеты...,Negative Comment
2025?,Positive Comment
"Почти 8,5 млрд просмотров, 52млн лайки, 4,2млн комментарии офигеть просто бомба😂😮😂😢😮😮",Negative Comment
13/02/2024 after you see<br>like me,Positive Comment
СКОЛЬКО ОНИ ЗАРАБОТАЛИ,Positive Comment
Alguien en 2024 escuchando este temazo?,Positive Comment
👇2024 attendance here ❤,Positive Comment
"¡Ay!<br>Fonsi, DY<br>Oh, oh no, oh no (oh)<br>Hey yeah<br>Diridiri, dirididi Daddy<br>Go!<br>Sí, sabes que ya llevo un rato mirándote<br>Tengo que bailar contigo hoy (DY)<br>Vi que tu mirada ya estaba llamándome<br>Muéstrame el camino que yo voy<br>Oh, tú, tú eres el imán y yo soy el metal<br>Me voy acercando y voy armando el plan<br>Solo con pensarlo se acelera el pulso (oh yeah)<br>Ya, ya me estás gustando más de lo normal<br>Todos mis sentidos van pidiendo más<br>Esto hay que tomarlo sin ningún apuro<br>Despacito<br>Quiero respirar tu cuello despacito<br>Deja que te diga cosas al oído<br>Para que te acuerdes si no estás conmigo<br>Despacito<br>Quiero desnudarte a besos despacito<br>Firmar las paredes de tu laberinto<br>Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)<br>(Sube, sube) Oh<br>Quiero ver bailar tu pelo<br>Quiero ser tu ritmo (uh oh, uh oh)<br>Que le enseñes a mi boca (uh oh, uh oh)<br>Tus lugares favoritos (favoritos, favoritos baby)<br>Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)<br>Hasta provocar tus gritos (uh oh, uh oh)<br>Y que olvides tu apellido (dirididi Daddy)<br>Yo sé que estás pensándolo (eh)<br>Llevo tiempo intentándolo (eh)<br>Mami, esto es dando y dándolo<br>Sabes que tu corazón conmigo te hace bam bam<br>Sabe que esa beba &#39;tá buscando de mi bam bam<br>Ven prueba de mi boca para ver cómo te sabe<br>Quiero, quiero, quiero ver cuánto amor a ti te cabe<br>Yo no tengo prisa, yo me quiero dar el viaje<br>Empezamo&#39; lento, después salvaje<br>Pasito a pasito, suave suavecito<br>Nos vamos pegando poquito a poquito<br>Cuando tú me besas con esa destreza<br>Veo que eres malicia con delicadeza<br>Pasito a pasito, suave suavecito<br>Nos vamos pegando, poquito a poquito (oh oh)<br>Y es que esa belleza es un rompecabezas (oh no)<br>Pero pa&#39; montarlo aquí tengo la pieza (slow, oh yeah)<br>Despacito (yeh, yo)<br>Quiero respirar tu cuello despacito (yo)<br>Deja que te diga cosas al oído (yo)<br>Para que te acuerdes si no estás conmigo<br>Despacito<br>Quiero desnudarte a besos despacito (yeh)<br>Firmar las paredes de tu laberinto<br>Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)<br>(Sube, sube) Oh<br>Quiero ver bailar tu pelo<br>Quiero ser tu ritmo (uh oh, uh oh)<br>Que le enseñes a mi boca (uh oh, uh oh)<br>Tus lugares favoritos (favoritos, favoritos baby)<br>Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)<br>Hasta provocar tus gritos (uh oh, uh oh)<br>Y que olvides tu apellido<br>Despacito<br>Vamo&#39; a hacerlo en una playa en Puerto Rico<br>Hasta que las olas griten &quot;Ay, bendito&quot;<br>Para que mi sello se quede contigo (báilalo)<br>Pasito a pasito, suave suavecito (hey yeah, yeah)<br>Nos vamos pegando, poquito a poquito (oh no)<br>Que le enseñes a mi boca (uh oh, uh oh)<br>Tus lugares favoritos (favoritos, favoritos baby)<br>Pasito a pasito, suave suavecito<br>Nos vamos pegando, poquito a poquito<br>Hasta provocar tus gritos (eh-oh) (Fonsi)<br>Y que olvides tu apellido (DY)<br>Despacito",Negative Comment
Krásna piesen super😅,Positive Comment
Me encanta 😍😍,Positive Comment
CHRISTIAN☝,Negative Comment
Man… just wishing I can go back to the times young with friends driving around town without any care in the world. Hope my friends from back then are doing good,Positive Comment
"Yo, there are only 8.1 billion people in the world…",Negative Comment
💕💕💕💕💕💕💕💕💕,Positive Comment
💕💕💕💕💕💕💕💕💕💕💕💕,Positive Comment
I love 💕💕💕💕💕💕💕💕💕💕💕💕💕,Positive Comment
✌✌✌✌✌✌✌✌✌✌✌✌,Positive Comment
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,Negative Comment
💕💕💕💕💕💕💕💕💕💕💕,Positive Comment
Despacito is my favourite song💕💕💕💕,Positive Comment
I love despacito song 💕💕💕💕💕💕💕💕💕,Positive Comment
Very nice💕💕💕😳😍,Positive Comment
😳😍😳😍😳😍😳😍😳😍😳😍😳😍,Positive Comment
💕💕💕💕💕very nice💕💕💕💕💕💕💕💕,Positive Comment
💕excellent 💕💕💕💕💕💕,Positive Comment
😃😃😃😃😃😃😃😃😃😃😃😃😀😀😀,Positive Comment
👏👏👏👏👏👏👏👏,Positive Comment
Brazil,Positive Comment
فيديو روعة,Negative Comment
Still listening in 2024❤,Positive Comment
😂😂😂😂😂😂😂😂,Positive Comment
Yessicaflores❤❤❤❤❤❤❤❤❤❤,Positive Comment
Yu😊,Positive Comment
Knowing what the words mean 0%<br>Great dancing and lyrics 100%<br>inappropriate?? 50%,Negative Comment
2024🇰🇿❤,Positive Comment
anyone in  feb tue13 2024 🧭😓,Positive Comment
Who watching on 2024?,Positive Comment
"<a href=""https://www.youtube.com/shorts/LofljPF-e_o"">https://youtube.com/shorts/LofljPF-e_o?si=V-mviiCe5QODdVWr</a>",Negative Comment
"Queres hacer una novela con Lujan Gonzalez,ya la escribi y tiene titulo",Positive Comment
Awesome song 🎧  I’m totally enjoyed!!,Positive Comment
また貴方の魅力的な美声に、溺れたいから聴きに来たわ❤貴方の神曲である、デスパシ一トを聴く度にこの私は、もっと貴方の事を゙、恋い焦がれる想いがして、もう私は貴方無しでは生きていけないの!!!愛しているんだ…貴方の全てを゙…😢消して手に届かない貴方を゙…😭😭😭😭😭😭😭😭,Negative Comment
This bad boy tune,Negative Comment
This is an amazing epic song  bravo gracias 😮🎉,Positive Comment
Como que o meu comentário é o único em 7 anos nunca recebeu likes?<br>Daqui a 7 anos eu volto para saber quantos likes terão,Positive Comment
"<a href=""https://www.youtube.com/watch?v=Y5zjWVABPsM"">https://youtu.be/Y5zjWVABPsM?feature=shared</a>",Positive Comment
اشهد ان لا اله الا الله واشهد أن محمداً رسول الله,Negative Comment
Is Anyone listening this great  song in 2024😍?,Positive Comment
何回聴いても飽きない,Positive Comment
This is an amazing song,Positive Comment
Any one 2024???😂,Positive Comment
Any one from 2024,Positive Comment
who has come to check views in 2024,Positive Comment
I&#39;m from India 🇮🇳.,Positive Comment
Bro 4.2 million comments and 52 million like and 8.3 BILLION VEIWS wait how,Positive Comment
Indians Like Here,Positive Comment
The fact you realise that this song views are more than world population 😅,Positive Comment
I can&#39;t understand but enjoying this song....,Positive Comment
✋🌅,Positive Comment
😂,Positive Comment
👬,Positive Comment
🧠,Positive Comment
💙??,Positive Comment
??,Negative Comment
💙=💟,Positive Comment
✋,Positive Comment
From bd❤,Positive Comment
Ternyata udah 7tahun lalu😭,Negative Comment
Great 🎉 it’s February 2024,Positive Comment
2024,Positive Comment
Какая Девочка Красивая !😊😊😅😅,Positive Comment
No me voy a olvidar cuando salio la canción cuando era pequeña lo ponía al revés y pensaban q era del diablo xd,Positive Comment
🎧The best song 🎧 😴💯✅,Positive Comment
really great,Positive Comment
😍😍😍😍,Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=82"">1:22</a>",Negative Comment
💎💎💎,Positive Comment
Who is listening this song in 2024😅,Positive Comment
"<a href=""https://www.youtube.com/watch?v=r0EtENZcEvM"">https://youtu.be/r0EtENZcEvM?si=67597ANJkUcYL577</a>",Positive Comment
"<a href=""https://www.youtube.com/watch?v=r0EtENZcEvM"">https://youtu.be/r0EtENZcEvM?si=67597ANJkUcYL577</a>",Positive Comment
"Sólo puedo pensar en él, cuando escucho esta canción.",Positive Comment
Cea mai tare melodie cineva 2024??❤,Positive Comment
2024..... February 13 😢😢,Positive Comment
From in 2024 😊,Positive Comment
Me listening it in 2024 😂,Positive Comment
Anyone in 2024 like👇,Positive Comment
Any one 2024 ❤❤❤❤,Positive Comment
Anyone 2024,Positive Comment
My 2018🫶🏻😿,Positive Comment
Anyone else eh ?? ❤️ from Italia 🇮🇹,Positive Comment
Hi there,Positive Comment
2024 yet,Positive Comment
"<a href=""https://www.youtube.com/watch?v=odN4NxR-Ze8"">https://youtu.be/odN4NxR-Ze8?si=rDyN4pvcg1xDju4e</a>",Positive Comment
How is this garbage the second most viewed video on YouTube? Culture is dead.,Negative Comment
2024 any one?,Positive Comment
alguien del 2024?,Positive Comment
2024,Positive Comment
❤❤🥰🥰🥰😍🤩🤩😍,Positive Comment
8 mil millones increíble! <br>Mi gente Latino!😉,Positive Comment
The fact that I speak spanish makes this even better,Positive Comment
Anyone listen 🎧🎶 2024❤❤,Positive Comment
한국댓글을 찾은 당신 정말 대단합니다,Negative Comment
Soy gay 🏳️‍🌈,Positive Comment
Actualy this song was a bunger and i wish the other musians could be this creative😛😛,Positive Comment
Man this song will never die cuz its a legend ❤,Positive Comment
HOLY,Positive Comment
Who&#39;s watching this in 2024?,Positive Comment
"Solo🌮😪vine a comentar, como odio esta cancion, no puedo creer el horrible gusto de la gente",Negative Comment
😂😂😂😂,Positive Comment
